UserName,ID,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,14678968,14678968,CTTech,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
6.27036E+17,6.27036E+17,110396781,110396781,ajplus,ialsmadi
ialsmadi,,,,,
,,,,,ialsmadi
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
,,260907612,260907612,united,ialsmadi
6.04641E+17,6.04641E+17,74721676,74721676,ImamSuhaibWebb,ialsmadi
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
,,,,,ialsmadi
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
,,,,,ialsmadi
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
,,,,,ialsmadi
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
ialsmadi,,,,,
